source_id,slide_number,slide_filename,slide_title,text
SRC_PPTX_MIDIAS_SOCIAIS,1,ppt/slides/slide1.xml,Relatório de mídias sociais TMJ BB Período: 14.10 a 16.12,
SRC_PPTX_MIDIAS_SOCIAIS,2,ppt/slides/slide2.xml,SUMÁRIO,1. Contexto 2. Objetivo 3. Big numbers (Fortaleza) 4. Redes Externas 5. Comparativos 6. Aprendizados
SRC_PPTX_MIDIAS_SOCIAIS,3,ppt/slides/slide3.xml,1. CONTEXTO,"Benchmark de mercado para a taxa de viralização Busca manual de alguns conteúdos nas redes de esportistas e parceiros O período analisado foi de 14/10 até 16/12, no qual contou com a etapa de Fortaleza. O objetivo é entender o que foi falado nas redes em ambos os perfis."
SRC_PPTX_MIDIAS_SOCIAIS,4,ppt/slides/slide4.xml,2. OBJETIVO,Monitorar o desempenho do TMJ BB + Vert Battle nas redes sociais e nas mídias para gerar insights estratégicos que orientem a criação de conteúdo.
SRC_PPTX_MIDIAS_SOCIAIS,5,ppt/slides/slide5.xml,3.BIG NUMBERS Performance: Redes sociais TMJ BB + Vert Battle,
SRC_PPTX_MIDIAS_SOCIAIS,6,ppt/slides/slide6.xml,BIG NUMBERS,"Fortaleza se consolida como um polo emergente do skate no Brasil, com cena urbana ativa, atletas em destaque e crescente apoio a eventos e espaços dedicados ao esporte. A antecipação das informações sobre local e datas da próxima etapa, aliada à integração de dois perfis com criativos focados na competição, contribuiu diretamente para a melhora das métricas em relação à etapa anterior, indicando maior clareza, engajamento e interesse do público. | 240 Posts | 190.2K Interações | 3.7M Visualizações | 2.1M Alcance Potencial | 10.7K Comentários | 24.9K Compartilhamentos | 5,01% Tx Engajamento | 0,66% Tx viralização | BENCH MERCADO: 1% | Etapa: Fortaleza | Vs. Curitiba: 94.1K | 102% | 197% | 310% | 101% | Vs. Curitiba: 19.5K | Vs. Curitiba: 119 | Vs. Curitiba: 900.4K | Vs. Curitiba: 3.6K | 27%"
SRC_PPTX_MIDIAS_SOCIAIS,7,ppt/slides/slide7.xml,DADOS PERFIL TAMO JUNTO BB (10 a 14.12),"Fonte: Instagram | 75K Visitas ao perfil | +295% vs período anterior ao evento | 88K Atividades dentro do perfil | +265% vs período anterior ao evento | 13K Toques links externos | +152% vs período anterior ao evento | O equilíbrio entre interações de seguidores e não seguidores reforça o sucesso do Festival nas redes. A boa recepção é impulsionada pelo caráter nichado do evento e pela presença de skatistas com atuação frequente no Instagram, cuja linguagem nativa digital contribuiu para o bom desempenho do perfil e dos conteúdos."
SRC_PPTX_MIDIAS_SOCIAIS,8,ppt/slides/slide8.xml,DADOS PERFIL VERT BATTLE,"A alta frequência de publicações no Instagram alinhada a grandes nomes do Skate, contribuiu para o crescimento orgânico de seguidores em +110%, comparado ao início de divulgação das competições, em março. Com taxas de engajamento acima/igual a 2%, que costuma ser a média de mercado, todas as etapas demonstraram ótima recepção do público, com comunicação adaptada para cada região. | PREFERÊNCIAS DA AUDIÊNCIA | 40% 25-34 anos | 84% masculino | 71% Esporte | Fonte: Traackr | 10% Lifestyle"
SRC_PPTX_MIDIAS_SOCIAIS,9,ppt/slides/slide9.xml,CONTEÚDOS DE DESTAQUE,"+ Visualizado | + Comentado | + Compartilhado | Tamo Junto BB Formato: Reels informativo 407.8K visualizações 12.1K Interações O anúncio da atração do cantor João Gomes para o show de 13/12 destacou-se como o principal driver de atenção da comunicação, concentrando quase 10% de todas as visualizações do período. O resultado evidencia o alto poder de atração do artista e reforça a relevância de anúncios de grandes nomes como alavancas estratégicas para ampliar alcance, engajamento e interesse antecipado do público em eventos de grande porte. | Tamo Junto BB Formato: Carrossel 3.5K compartilhamentos A publicação em formato carrossel, apresentou de forma clara a agenda do evento, as atrações e os horários do maior campeonato de skate em Fortaleza, cumpriu um papel estratégico de serviço e orientação ao público. O conteúdo gerou interação direta ao reduzir dúvidas, aumentar a previsibilidade da experiência e reforçar a percepção de organização e profissionalismo do evento, contribuindo para maior engajamento qualificado e satisfação do público. | + Engajado | Tamo Junto BB Formato: Reels Collab 304 comentários A publicação de caráter interativo associada ao anúncio da banda BaianaSystem gerou a maior volumetria de comentários do período, evidenciando elevado nível de engajamento e conexão emocional com o público. As interações refletiram entusiasmo, expectativa e sentimento de gratidão pela atração e pela data do evento, além de ampla reação espontânea por meio de emojis, reforçando o potencial desse tipo de conteúdo para estimular diálogo, fortalecer a percepção positiva da iniciativa e ampliar a relevância orgânica da comunicação"
SRC_PPTX_MIDIAS_SOCIAIS,10,ppt/slides/slide10.xml,Comentários sobre o TMJ BB em Fortaleza,3.7M visualizações 154.5 K curtidas
SRC_PPTX_MIDIAS_SOCIAIS,11,ppt/slides/slide11.xml,DESEMPENHO PERFIS,"As publicações em collab com Raicca Ventura tiveram desempenho relevante, respondendo por aproximadamente 5% das visualizações totais e posicionando-se entre as três principais publicações do período na métrica analisada. O resultado reforça a eficácia de parcerias com atletas e influenciadores alinhados ao esporte para ampliar alcance, agregar credibilidade ao evento e potencializar a performance orgânica da comunicação."
SRC_PPTX_MIDIAS_SOCIAIS,12,ppt/slides/slide12.xml,FORMATOS DOS CONTEÚDOS,"As publicações em formato Reels concentraram 93% das visualizações e 67% do engajamento do período, com destaque para conteúdos de atletas, bastidores e registros da competição no dia a dia, evidenciando alta aderência do público a narrativas dinâmicas. O desempenho confirma a assertividade do formato como principal motor de alcance e interação. Em contrapartida, a ausência de publicações no TikTok pelo segundo campeonato consecutivo indica uma oportunidade estratégica não explorada para ampliar audiência, especialmente entre públicos mais jovens e fortemente conectados a conteúdos de vídeos mais curtos."
SRC_PPTX_MIDIAS_SOCIAIS,13,ppt/slides/slide13.xml,GATILHOS EMOCIONAIS,"PRINCIPAIS INSIGHTS | Durante o período analisado, apenas dois estilos de conteúdo se destacaram na geração de gatilhos emocionais, ambos convergindo para a mesma afinidade central: a vivência da competição, os bastidores e os momentos marcantes da etapa de Fortaleza. Esse resultado reforça que narrativas próximas do atleta são as que mais conectam com o público. Manter o foco em conteúdos de bastidores e ampliar a cobertura do pós-manobra, do processo de preparação e do ritual pré -competição tende a potencializar curiosidade, recorrência de consumo e identificação emocional, fortalecendo a base de seguidores e a expectativa contínua por novas etapas e eventos. | engajamento | Views"
SRC_PPTX_MIDIAS_SOCIAIS,14,ppt/slides/slide14.xml,4.REDES EXTERNAS Perfis que citaram o evento gerando conversas nas redes.,
SRC_PPTX_MIDIAS_SOCIAIS,15,ppt/slides/slide15.xml,BIG NUMBERS – REDES EXTERNAS,"O pico de menções concentrou-se no último dia do evento, respondendo por 11% do total registrado no período analisado, coincidente com o momento de definição dos campeões por categoria. O cenário majoritariamente positivo, com 86% das menções favoráveis, indica forte engajamento e percepção positiva do público nos momentos decisivos da competição, reforçando a relevância estratégica de intensificar a comunicação nos desfechos do evento para maximizar visibilidade e reputação. | 493 Menções | 2.1M Alcance Potencial | 86% Menções Positivas | Fonte: Brandwatch"
SRC_PPTX_MIDIAS_SOCIAIS,16,ppt/slides/slide16.xml,BIG NUMBERS – REDES EXTERNAS,"O rapper, cantor e compositor norte-americano teve alta presença na trilha sonora do evento, sendo amplamente ouvido tanto por atletas quanto pelo público, reforçando a conexão cultural e a atmosfera do campeonato. Os skatistas Raicca Ventura e Augusto Akio figuraram entre os temas mais comentados do campeonato, evidenciando forte protagonismo esportivo e elevado interesse do público. Observou-se um volume relevante de menções ao “Festival Tamo Junto BB”, indicando alto nível de associação espontânea do público entre o campeonato e o festival. | Nuvem de palavras | # mais citadas | Fonte: Brandwatch"
SRC_PPTX_MIDIAS_SOCIAIS,17,ppt/slides/slide17.xml,DESEMPENHO POR REDE,"Os perfis de notícias concentraram 58% do total de menções, posicionando-se como os principais vetores de amplificação e divulgação do evento. Ao informar de forma recorrente datas, horários, local da competição e a evolução da agenda ao longo dos dias, esses canais desempenharam papel estratégico na disseminação de informações, na redução de dúvidas do público e no aumento da visibilidade e credibilidade do evento. | Menções por rede | Fonte: Brandwatch"
SRC_PPTX_MIDIAS_SOCIAIS,18,ppt/slides/slide18.xml,PRINCIPAIS PUBLICAÇÕES,Olimpíada Todo Dia Seguidores: 107K Rede: Instagram Interações: 432 Collab Raicca Ventura: 75K Collab Skate Feminino Brasil: 2.4K Collab Natália Jornalista: 4K | Raicca Ventura Seguidores: 75K Rede: Instagram Interações: 1.1K | Raicca Ventura Seguidores: 75K Rede: Instagram Interações: 900 | Fonte: Sprinklr
SRC_PPTX_MIDIAS_SOCIAIS,19,ppt/slides/slide19.xml,PRINCIPAIS PUBLICAÇÕES,Davison Fortunato Seguidores: 124K Rede: Instagram Interações: 715 | Bob Burnquist Seguidores: 912K Rede: Instagram Interações: 3K | Daniela Vitória Seguidores: 7.7K Rede: Instagram Interações: 215 | Fonte: Sprinklr
